index,Int_area
WV_C29_L30,1337.6248984256051
WV_C15_L29,454.8175395740535
WV_C15_L28,48.806883378380604
WV_C11_L27,132.47785408254342
WV_C15_L27,1.6388529458622045
WV_C36_L27,143.1467496571288
WV_C11_L26,8.209902462426511
WV_C15_L26,139.62149769971845
WV_C17_L26,621.1620183907081
WV_C18_L26,175.54359095062063
WV_C23_L26,65.50731526066491
WV_C24_L26,41.98372545431247
WV_C33_L26,2.8740948543950506
WV_C34_L26,1001.4751572728401
WV_C35_L26,5194.0214295127225
WV_C36_L26,9549.626275568167
WV_C37_L26,6473.300178777474
WV_C38_L26,204.90167350153882
WV_C45_L26,64.66060374736828
WV_C12_L25,428.2929161357468
WV_C19_L25,28.75393421667263
WV_C23_L25,8.223979290487197
WV_C24_L25,38.83369779596633
WV_C33_L25,517.1453906749449
WV_C34_L25,7359.30244690057
WV_C35_L25,9932.987497752312
WV_C36_L25,10000.0
WV_C37_L25,10000.000000000002
WV_C38_L25,5854.700766006841
WV_C43_L25,885.1648593873339
WV_C44_L25,4599.6751690576575
WV_C45_L25,7799.857099856808
WV_C19_L24,29.01904321195436
WV_C33_L24,2263.5198397894083
WV_C34_L24,9556.774573373556
WV_C35_L24,9999.999999999998
WV_C36_L24,10000.000000000002
WV_C37_L24,10000.0
WV_C38_L24,9999.832329349587
WV_C39_L24,5149.109181345648
WV_C40_L24,1221.7650339714364
WV_C41_L24,1295.3627189905224
WV_C42_L24,3301.98002264005
WV_C43_L24,8776.310127228717
WV_C44_L24,10000.000000000002
WV_C45_L24,7974.242328869193
WV_C04_L23,94.56006389405407
WV_C05_L23,11.0718191864434
WV_C17_L23,71.59978585803343
WV_C20_L23,278.2283428201121
WV_C31_L23,65.195804145732
WV_C32_L23,2078.1330773615223
WV_C33_L23,4714.571222044209
WV_C34_L23,9999.209951132449
WV_C35_L23,10000.0
WV_C36_L23,10000.0
WV_C37_L23,10000.0
WV_C38_L23,9999.999999999998
WV_C39_L23,10000.0
WV_C40_L23,10000.000000000004
WV_C41_L23,9999.999999999998
WV_C42_L23,10000.000000000004
WV_C43_L23,10000.000000000004
WV_C44_L23,9999.999999999996
WV_C45_L23,3943.3436301683428
WV_C04_L22,418.5509338692951
WV_C09_L22,22.156764400829637
WV_C10_L22,2114.736337248309
WV_C20_L22,166.6677458561379
WV_C30_L22,905.2109465744294
WV_C31_L22,6085.4536583594745
WV_C32_L22,6499.641391105126
WV_C33_L22,6547.4846653011355
WV_C34_L22,10000.000000000002
WV_C35_L22,10000.000000000004
WV_C36_L22,9999.999999999996
WV_C37_L22,10000.000000000002
WV_C38_L22,10000.0
WV_C39_L22,10000.0
WV_C40_L22,9999.999999999996
WV_C41_L22,10000.000000000002
WV_C42_L22,10000.0
WV_C43_L22,10000.0
WV_C44_L22,10000.000000000004
WV_C45_L22,6519.543581568429
WV_C02_L21,280.3872514474089
WV_C04_L21,101.21414546006517
WV_C10_L21,1301.6474461583134
WV_C13_L21,43.37440388200121
WV_C20_L21,33.150035548624096
WV_C21_L21,205.27745993958436
WV_C29_L21,1072.6660702111128
WV_C30_L21,2700.4216064735556
WV_C31_L21,6654.816995171949
WV_C32_L21,7483.007502746087
WV_C33_L21,9419.497288276132
WV_C34_L21,10000.000000000002
WV_C35_L21,10000.000000000002
WV_C36_L21,10000.000000000002
WV_C37_L21,10000.0
WV_C38_L21,9999.999999999998
WV_C39_L21,10000.000000000002
WV_C40_L21,10000.000000000002
WV_C41_L21,9999.999999999995
WV_C42_L21,10000.0
WV_C43_L21,10000.0
WV_C44_L21,9999.999999999996
WV_C45_L21,9933.611358688697
WV_C46_L21,563.1546113634219
WV_C02_L20,410.4399331323455
WV_C03_L20,1594.6066283467314
WV_C12_L20,931.3348691437401
WV_C13_L20,4000.9076025715976
WV_C14_L20,22.647282955859357
WV_C15_L20,22.190538164155612
WV_C18_L20,635.0376323080598
WV_C19_L20,125.35110846400833
WV_C20_L20,1219.7200405109993
WV_C21_L20,1012.9259171447335
WV_C25_L20,448.2927924690472
WV_C28_L20,1626.4440657736288
WV_C29_L20,5956.270943318174
WV_C30_L20,5198.171941592697
WV_C31_L20,1347.9882696025838
WV_C32_L20,8951.199353809472
WV_C33_L20,10000.0
WV_C34_L20,9999.999999999998
WV_C35_L20,9999.999999999998
WV_C36_L20,10000.0
WV_C37_L20,9999.999999999998
WV_C38_L20,10000.000000000002
WV_C39_L20,10000.0
WV_C40_L20,10000.0
WV_C41_L20,9999.999999999996
WV_C42_L20,10000.000000000004
WV_C43_L20,10000.000000000002
WV_C44_L20,10000.0
WV_C45_L20,7065.380610295163
WV_C46_L20,108.58925519400519
WV_C02_L19,15.255366289937188
WV_C03_L19,5240.658186400296
WV_C04_L19,3545.7668382347324
WV_C05_L19,600.1932493088249
WV_C07_L19,603.8799361811439
WV_C12_L19,839.7664506732054
WV_C13_L19,3292.4605019401674
WV_C16_L19,32.99011049248868
WV_C19_L19,2352.41231712043
WV_C20_L19,2369.413801289738
WV_C21_L19,513.8269221776726
WV_C24_L19,1503.5252006517987
WV_C25_L19,4885.449088572776
WV_C26_L19,2360.6465242592076
WV_C27_L19,513.6337613318483
WV_C28_L19,6732.944578215358
WV_C29_L19,9217.727793930457
WV_C30_L19,7271.617352467296
WV_C31_L19,7941.333586158873
WV_C32_L19,10000.0
WV_C33_L19,10000.000000000002
WV_C34_L19,9999.999999829868
WV_C35_L19,10000.000000000004
WV_C36_L19,10000.0
WV_C37_L19,9999.999999999996
WV_C38_L19,9999.999999999998
WV_C39_L19,9999.999999999998
WV_C40_L19,9999.999999999998
WV_C41_L19,10000.0
WV_C42_L19,10000.0
WV_C43_L19,10000.000000000004
WV_C44_L19,10000.0
WV_C45_L19,8214.020281849722
WV_C46_L19,6465.5907378452175
WV_C47_L19,3686.363762639255
WV_C02_L18,19.540019347144582
WV_C03_L18,9483.012260083888
WV_C04_L18,8478.39860168943
WV_C05_L18,41.12718971949944
WV_C07_L18,890.6670516303891
WV_C12_L18,713.4844285726638
WV_C13_L18,5139.559956185661
WV_C14_L18,1114.1329814083847
WV_C15_L18,975.2024139756294
WV_C16_L18,1630.1539076166862
WV_C17_L18,2161.711078028652
WV_C18_L18,2365.3362330712753
WV_C19_L18,2124.2379293941476
WV_C20_L18,401.51369662796213
WV_C21_L18,938.4617243589577
WV_C22_L18,146.81292503337548
WV_C23_L18,1051.9962010028491
WV_C24_L18,6722.882055760363
WV_C25_L18,8047.344733569494
WV_C26_L18,8449.059746042903
WV_C27_L18,4844.486344428995
WV_C28_L18,8673.82272379864
WV_C29_L18,9800.40684786075
WV_C30_L18,10000.0
WV_C31_L18,10000.000000000002
WV_C32_L18,10000.0
WV_C33_L18,10000.000000000002
WV_C34_L18,9999.999999999998
WV_C35_L18,9999.999999999996
WV_C36_L18,10000.0
WV_C37_L18,9999.999999999996
WV_C38_L18,9999.999999999998
WV_C39_L18,10000.000000000004
WV_C40_L18,9999.999999999998
WV_C41_L18,10000.0
WV_C42_L18,10000.0
WV_C43_L18,10000.000000000004
WV_C44_L18,10000.000000000002
WV_C45_L18,10000.000000000005
WV_C46_L18,9999.999999999998
WV_C47_L18,8632.660247998481
WV_C48_L18,74.84376818675489
WV_C02_L17,0.03961502374360679
WV_C03_L17,7250.421888875682
WV_C04_L17,9732.768403765207
WV_C05_L17,83.20652500659607
WV_C11_L17,2413.2566491463645
WV_C12_L17,8187.901214052059
WV_C13_L17,9999.999999999996
WV_C14_L17,9940.577418921299
WV_C15_L17,9908.537195053455
WV_C16_L17,9999.999999999998
WV_C17_L17,9951.02740568721
WV_C18_L17,9984.807185603984
WV_C19_L17,9729.088603253911
WV_C20_L17,8970.719617806997
WV_C21_L17,9416.798636941807
WV_C22_L17,7208.06412430552
WV_C23_L17,2159.2739117716287
WV_C24_L17,3359.7475481878473
WV_C25_L17,3964.9005957573063
WV_C26_L17,8150.344726039675
WV_C27_L17,9540.945650268157
WV_C28_L17,9996.576841135473
WV_C29_L17,10000.0
WV_C30_L17,9999.999999999996
WV_C31_L17,10000.0
WV_C32_L17,10000.000000000002
WV_C33_L17,10000.0
WV_C34_L17,10000.0
WV_C35_L17,10000.0
WV_C36_L17,9999.999999999996
WV_C37_L17,10000.0
WV_C38_L17,9999.999999999998
WV_C39_L17,9999.999999999998
WV_C40_L17,10000.0
WV_C41_L17,10000.0
WV_C42_L17,10000.000000000002
WV_C43_L17,9100.570563845968
WV_C44_L17,4339.049686629704
WV_C45_L17,2301.1492522980952
WV_C46_L17,3904.618055718937
WV_C47_L17,464.85690403957625
WV_C03_L16,759.6503552173244
WV_C04_L16,8779.098066304581
WV_C05_L16,4363.668160090193
WV_C06_L16,4411.330966510876
WV_C07_L16,2686.189269027907
WV_C08_L16,672.1378519463909
WV_C09_L16,1546.3150317983961
WV_C10_L16,5950.206959962345
WV_C11_L16,9987.55778884517
WV_C12_L16,10000.0
WV_C13_L16,9999.999999999996
WV_C14_L16,10000.0
WV_C15_L16,10000.000000000004
WV_C16_L16,10000.0
WV_C17_L16,10000.000000000002
WV_C18_L16,9999.999999999998
WV_C19_L16,9999.999999999998
WV_C20_L16,9999.999999999998
WV_C21_L16,10000.0
WV_C22_L16,10000.0
WV_C23_L16,10000.0
WV_C24_L16,10000.0
WV_C25_L16,10000.000000000002
WV_C26_L16,10000.0
WV_C27_L16,9999.999999999998
WV_C28_L16,10000.000000000004
WV_C29_L16,10000.0
WV_C30_L16,10000.000000000002
WV_C31_L16,10000.0
WV_C32_L16,10000.0
WV_C33_L16,10000.0
WV_C34_L16,10000.0
WV_C35_L16,10000.0
WV_C36_L16,10000.000000000002
WV_C37_L16,10000.0
WV_C38_L16,10000.000000000002
WV_C39_L16,10000.0
WV_C40_L16,9999.999999999998
WV_C41_L16,10000.0
WV_C42_L16,8498.659069366062
WV_C43_L16,599.1895276491001
WV_C04_L15,2029.9120239288573
WV_C05_L15,9695.545755072097
WV_C06_L15,10000.0
WV_C07_L15,10000.0
WV_C08_L15,10000.0
WV_C09_L15,10000.0
WV_C10_L15,9999.999999999996
WV_C11_L15,10000.000000000002
WV_C12_L15,9999.999999999998
WV_C13_L15,10000.000000000004
WV_C14_L15,10000.0
WV_C15_L15,10000.0
WV_C16_L15,10000.0
WV_C17_L15,10000.000000000004
WV_C18_L15,10000.000000000002
WV_C19_L15,10000.0
